"Observation station","Year","Month","Day","Time [Local time]","Average temperature [째C]","Maximum temperature [째C]","Minimum temperature [째C]","Average relative humidity [%]","Wind speed [m/s]","Maximum wind speed [m/s]","Average wind direction [째]","Maximum gust speed [m/s]","Precipitation [mm]","Average air pressure [hPa]"
"Vantaa Helsinki-Vantaa airport","2024","8","19","00:00","15.7","16.1","15.4","75","2.5","2.7","214","3.7","0","1010.2"
"Vantaa Helsinki-Vantaa airport","2024","8","19","01:00","15.5","15.8","15.1","76","2.9","3.4","200","4.5","0","1010.2"
"Vantaa Helsinki-Vantaa airport","2024","8","19","02:00","15.4","15.9","15.1","78","3","3.4","206","4.2","0","1010.2"
"Vantaa Helsinki-Vantaa airport","2024","8","19","03:00","14.4","15.3","11.7","82","2.7","2.9","203","3.5","0","1010.2"
"Vantaa Helsinki-Vantaa airport","2024","8","19","04:00","10.5","11.7","9.7","95","2.8","3","197","3.7","0","1010.1"
"Vantaa Helsinki-Vantaa airport","2024","8","19","05:00","9.5","9.8","9.2","95","2.9","3.1","197","3.7","0","1010.2"
"Vantaa Helsinki-Vantaa airport","2024","8","19","06:00","10.4","11.4","9.2","94","2.9","3.2","191","4.3","0","1009.9"
"Vantaa Helsinki-Vantaa airport","2024","8","19","07:00","11.8","15.3","9.8","93","2.9","3.1","205","3.9","0","1009.7"
"Vantaa Helsinki-Vantaa airport","2024","8","19","08:00","15.8","16.1","15.2","84","3","3.3","215","4.3","0","1009.6"
"Vantaa Helsinki-Vantaa airport","2024","8","19","09:00","16.5","17.3","16","83","3","3.2","214","4.8","0","1009.3"
"Vantaa Helsinki-Vantaa airport","2024","8","19","10:00","18.4","19.1","17.4","76","4.9","6.2","218","8.3","0","1009.4"
"Vantaa Helsinki-Vantaa airport","2024","8","19","11:00","19.9","20.9","19","60","5.4","5.9","225","9.2","0","1009.6"
"Vantaa Helsinki-Vantaa airport","2024","8","19","12:00","20.9","21.6","19.9","52","5.2","5.8","220","8","0","1009.7"
"Vantaa Helsinki-Vantaa airport","2024","8","19","13:00","21.6","22.5","20.9","48","5.6","6.4","214","10.5","0","1009.7"
"Vantaa Helsinki-Vantaa airport","2024","8","19","14:00","21","22.2","19.9","57","7","7.7","206","10.8","0","1009.9"
